timestamp, clocks.current.graphics [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, temperature.memory, utilization.gpu [%], memory.used [MiB], clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_thermal_slowdown
2026/07/17 09:53:26.732, 1192, 877, 194.35, 54, 54, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:26.783, 1192, 877, 194.13, 54, 54, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:26.835, 1192, 877, 194.83, 54, 54, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:26.887, 1192, 877, 197.35, 55, 54, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:26.945, 1192, 877, 202.75, 55, 54, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:26.997, 1192, 877, 196.87, 55, 54, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.049, 1192, 877, 196.53, 55, 55, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.106, 1192, 877, 197.01, 55, 55, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.158, 1192, 877, 205.97, 55, 55, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.210, 1192, 877, 205.01, 55, 55, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.262, 1192, 877, 206.45, 55, 55, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.314, 1192, 877, 201.05, 56, 55, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.368, 1192, 877, 203.10, 56, 55, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.420, 1192, 877, 196.26, 56, 55, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.472, 1192, 877, 203.23, 56, 55, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.524, 1192, 877, 199.75, 56, 55, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.576, 1192, 877, 202.96, 56, 55, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.630, 1192, 877, 199.27, 56, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.682, 1192, 877, 198.79, 56, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.734, 1192, 877, 206.72, 56, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.791, 1192, 877, 200.23, 56, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.842, 1192, 877, 198.31, 56, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.894, 1192, 877, 203.23, 56, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:27.951, 1192, 877, 195.70, 56, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.002, 1192, 877, 201.66, 56, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.054, 1192, 877, 201.18, 57, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.107, 1192, 877, 198.92, 57, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.158, 1192, 877, 205.15, 57, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.212, 1192, 877, 200.36, 57, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.264, 1192, 877, 207.07, 57, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.316, 1192, 877, 198.31, 57, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.372, 1192, 877, 196.66, 57, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.424, 1192, 877, 197.83, 57, 56, 100, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.476, 1192, 877, 193.39, 57, 56, 98, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.533, 1192, 877, 198.92, 57, 56, 98, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.585, 1192, 877, 194.61, 56, 56, 98, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.636, 1192, 877, 201.66, 57, 57, 94, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.688, 1192, 877, 201.18, 57, 57, 94, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.740, 1192, 877, 197.01, 57, 57, 94, 14342, Not Active, Not Active, Not Active
2026/07/17 09:53:28.794, 1192, 877, 206.93, 57, 57, 100, 14342, Not Active, Not Active, Not Active
