timestamp,index,uuid,power.draw_w,power.limit_w,clocks.sm_mhz,clocks.mem_mhz,utilization.gpu_percent,memory.used_mib,temperature_gpu_c
2026/07/13 20:37:59.111, 1, ${V100_GPU_1_UUID}, 147.74, 150.00, 1275, 877, 98, 6966, 47
2026/07/13 20:37:59.315, 1, ${V100_GPU_1_UUID}, 143.62, 150.00, 1245, 877, 98, 6966, 47
2026/07/13 20:37:59.523, 1, ${V100_GPU_1_UUID}, 147.94, 150.00, 1267, 877, 98, 6966, 47
2026/07/13 20:37:59.728, 1, ${V100_GPU_1_UUID}, 143.42, 150.00, 1267, 877, 98, 6966, 47
2026/07/13 20:37:59.934, 1, ${V100_GPU_1_UUID}, 146.88, 150.00, 1245, 877, 98, 6966, 48
2026/07/13 20:38:00.145, 1, ${V100_GPU_1_UUID}, 147.08, 150.00, 1267, 877, 98, 6966, 48
2026/07/13 20:38:00.348, 1, ${V100_GPU_1_UUID}, 143.04, 150.00, 1267, 877, 98, 6966, 48
2026/07/13 20:38:00.554, 1, ${V100_GPU_1_UUID}, 142.95, 150.00, 1260, 877, 98, 6966, 48
2026/07/13 20:38:00.759, 1, ${V100_GPU_1_UUID}, 147.26, 150.00, 1267, 877, 98, 6966, 48
2026/07/13 20:38:00.963, 1, ${V100_GPU_1_UUID}, 148.80, 150.00, 1267, 877, 98, 6966, 48
2026/07/13 20:38:01.170, 1, ${V100_GPU_1_UUID}, 142.95, 150.00, 1260, 877, 98, 6966, 48
2026/07/13 20:38:01.371, 1, ${V100_GPU_1_UUID}, 148.04, 150.00, 1267, 877, 98, 6966, 48
2026/07/13 20:38:01.573, 1, ${V100_GPU_1_UUID}, 150.92, 150.00, 1267, 877, 98, 6966, 49
2026/07/13 20:38:01.778, 1, ${V100_GPU_1_UUID}, 145.34, 150.00, 1267, 877, 98, 6966, 49
2026/07/13 20:38:01.979, 1, ${V100_GPU_1_UUID}, 150.62, 150.00, 1275, 877, 98, 6966, 49
2026/07/13 20:38:02.180, 1, ${V100_GPU_1_UUID}, 147.26, 150.00, 1275, 877, 98, 6966, 49
2026/07/13 20:38:02.382, 1, ${V100_GPU_1_UUID}, 151.68, 150.00, 1267, 877, 98, 6966, 49
2026/07/13 20:38:02.583, 1, ${V100_GPU_1_UUID}, 146.02, 150.00, 1267, 877, 98, 6966, 49
2026/07/13 20:38:02.784, 1, ${V100_GPU_1_UUID}, 147.08, 150.00, 1275, 877, 98, 6966, 49
2026/07/13 20:38:02.985, 1, ${V100_GPU_1_UUID}, 149.10, 150.00, 1267, 877, 98, 6966, 49
2026/07/13 20:38:03.187, 1, ${V100_GPU_1_UUID}, 148.80, 150.00, 1267, 877, 98, 6966, 50
2026/07/13 20:38:03.388, 1, ${V100_GPU_1_UUID}, 146.88, 150.00, 1267, 877, 98, 6966, 50
2026/07/13 20:38:03.589, 1, ${V100_GPU_1_UUID}, 145.63, 150.00, 1267, 877, 98, 6966, 50
2026/07/13 20:38:03.791, 1, ${V100_GPU_1_UUID}, 148.62, 150.00, 1260, 877, 98, 6966, 50
2026/07/13 20:38:03.992, 1, ${V100_GPU_1_UUID}, 148.62, 150.00, 1282, 877, 98, 6966, 50
2026/07/13 20:38:04.193, 1, ${V100_GPU_1_UUID}, 143.23, 150.00, 1260, 877, 98, 6966, 50
2026/07/13 20:38:04.395, 1, ${V100_GPU_1_UUID}, 144.00, 150.00, 1260, 877, 98, 6966, 50
2026/07/13 20:38:04.596, 1, ${V100_GPU_1_UUID}, 145.82, 150.00, 1267, 877, 98, 6966, 50
2026/07/13 20:38:04.797, 1, ${V100_GPU_1_UUID}, 145.82, 150.00, 1267, 877, 98, 6966, 51
2026/07/13 20:38:04.999, 1, ${V100_GPU_1_UUID}, 50.74, 150.00, 1447, 877, 98, 352, 49
2026/07/13 20:38:05.200, 1, ${V100_GPU_1_UUID}, 51.70, 150.00, 1530, 877, 77, 6, 48
2026/07/13 20:38:05.401, 1, ${V100_GPU_1_UUID}, 51.70, 150.00, 1530, 877, 0, 6, 48
2026/07/13 20:38:05.603, 1, ${V100_GPU_1_UUID}, 51.70, 150.00, 1530, 877, 0, 6, 48
2026/07/13 20:38:05.805, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 0, 6, 48
2026/07/13 20:38:06.007, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 0, 6, 48
2026/07/13 20:38:06.209, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 0, 6, 48
2026/07/13 20:38:06.411, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 0, 6, 48
2026/07/13 20:38:06.613, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 0, 6, 48
2026/07/13 20:38:06.815, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 0, 6, 48
2026/07/13 20:38:07.016, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 0, 6, 48
2026/07/13 20:38:07.218, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 0, 6, 48
2026/07/13 20:38:07.419, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 0, 6, 48
2026/07/13 20:38:07.621, 1, ${V100_GPU_1_UUID}, 51.22, 150.00, 1530, 877, 0, 6, 48
2026/07/13 20:38:07.823, 1, ${V100_GPU_1_UUID}, 23.72, 150.00, 337, 877, 0, 6, 47
2026/07/13 20:38:08.024, 1, ${V100_GPU_1_UUID}, 23.24, 150.00, 337, 877, 0, 6, 46
2026/07/13 20:38:08.226, 1, ${V100_GPU_1_UUID}, 23.24, 150.00, 337, 877, 0, 6, 46
2026/07/13 20:38:08.428, 1, ${V100_GPU_1_UUID}, 23.24, 150.00, 337, 877, 0, 6, 46
2026/07/13 20:38:08.629, 1, ${V100_GPU_1_UUID}, 23.24, 150.00, 337, 877, 0, 6, 46
2026/07/13 20:38:08.831, 1, ${V100_GPU_1_UUID}, 23.24, 150.00, 337, 877, 0, 6, 46
2026/07/13 20:38:09.033, 1, ${V100_GPU_1_UUID}, 23.24, 150.00, 337, 877, 0, 6, 46
2026/07/13 20:38:09.235, 1, ${V100_GPU_1_UUID}, 23.24, 150.00, 337, 877, 0, 6, 46
^C
